                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.83577,                 1.5195,                 1.3096,                0.65169,                0.54984,                0.61053,                 0.4549,                0.88111,                 1.4102,                 1.3307,               6.43e-05,               6.43e-05,               6.43e-05
                    121,                0.83583,                 1.5148,                 1.3048,                0.66782,                0.54787,                0.61208,                0.45599,                0.88051,                 1.4101,                 1.3312,                6.4e-05,                6.4e-05,                6.4e-05
                    122,                0.84494,                 1.5247,                 1.3039,                0.65729,                0.56005,                0.61207,                0.45625,                0.88298,                 1.4092,                 1.3337,               6.37e-05,               6.37e-05,               6.37e-05
                    123,                0.82312,                 1.4976,                 1.3111,                0.66317,                0.55177,                0.61167,                0.45675,                0.88394,                 1.4112,                 1.3346,               6.34e-05,               6.34e-05,               6.34e-05
                    124,                0.83223,                 1.5117,                 1.3091,                 0.6543,                0.55946,                0.61243,                0.45609,                0.88513,                 1.4122,                 1.3352,               6.31e-05,               6.31e-05,               6.31e-05
                    125,                0.83396,                 1.5033,                 1.3116,                0.65442,                0.55859,                0.61371,                 0.4574,                0.88672,                 1.4119,                 1.3361,               6.28e-05,               6.28e-05,               6.28e-05
                    126,                0.82508,                 1.5181,                 1.2914,                0.65001,                0.56294,                 0.6143,                0.45719,                0.88603,                 1.4109,                 1.3359,               6.25e-05,               6.25e-05,               6.25e-05
                    127,                0.84235,                 1.5223,                 1.3093,                0.65323,                0.56268,                0.61388,                0.45706,                0.88576,                 1.4101,                 1.3355,               6.22e-05,               6.22e-05,               6.22e-05
                    128,                0.82783,                 1.5138,                 1.3014,                0.66628,                0.55594,                 0.6145,                0.45776,                0.88518,                 1.4079,                  1.335,               6.19e-05,               6.19e-05,               6.19e-05
                    129,                0.83533,                  1.521,                 1.3129,                 0.6625,                0.55781,                0.61568,                0.45854,                0.88456,                 1.4039,                 1.3335,               6.16e-05,               6.16e-05,               6.16e-05
                    130,                 0.8352,                 1.4927,                 1.2974,                0.65883,                0.56128,                0.61544,                0.45859,                0.88398,                 1.4048,                 1.3325,               6.13e-05,               6.13e-05,               6.13e-05
                    131,                0.82873,                 1.5037,                  1.303,                0.65911,                 0.5587,                0.61523,                0.45762,                0.88308,                 1.4022,                 1.3317,                6.1e-05,                6.1e-05,                6.1e-05
                    132,                0.83381,                 1.5071,                 1.3048,                0.66126,                0.55775,                0.61517,                0.45753,                0.88188,                 1.4017,                 1.3311,               6.07e-05,               6.07e-05,               6.07e-05
                    133,                  0.825,                 1.5033,                  1.304,                0.66184,                0.55616,                0.61585,                0.45841,                0.88097,                 1.4004,                 1.3301,               6.04e-05,               6.04e-05,               6.04e-05
                    134,                0.83481,                 1.4988,                 1.3097,                0.66076,                0.55935,                0.61618,                0.45857,                0.88094,                 1.3984,                 1.3304,               6.01e-05,               6.01e-05,               6.01e-05
                    135,                0.83135,                 1.4974,                 1.3045,                0.65789,                0.55925,                0.61567,                0.45958,                 0.8797,                  1.399,                 1.3295,               5.98e-05,               5.98e-05,               5.98e-05
                    136,                0.82758,                 1.5003,                 1.3007,                0.65373,                0.56455,                0.61567,                0.45969,                0.87825,                 1.3992,                 1.3287,               5.95e-05,               5.95e-05,               5.95e-05
                    137,                0.82259,                 1.4912,                 1.2909,                0.64996,                0.56393,                0.61537,                0.46001,                0.87724,                 1.4011,                  1.328,               5.92e-05,               5.92e-05,               5.92e-05
                    138,                0.82842,                 1.4835,                 1.2985,                0.64953,                0.57018,                0.61569,                0.46067,                0.87791,                 1.3998,                 1.3287,               5.89e-05,               5.89e-05,               5.89e-05
                    139,                0.84248,                 1.5025,                 1.3066,                0.64825,                0.56937,                0.61662,                0.46122,                0.87826,                 1.3998,                  1.328,               5.86e-05,               5.86e-05,               5.86e-05
                    140,                0.82587,                 1.4832,                 1.2913,                0.63882,                0.57801,                0.61761,                0.46123,                0.87857,                 1.3997,                 1.3282,               5.83e-05,               5.83e-05,               5.83e-05
                    141,                0.83506,                 1.4915,                  1.298,                0.63717,                 0.5781,                0.61711,                   0.46,                0.87884,                 1.3993,                 1.3287,                5.8e-05,                5.8e-05,                5.8e-05
                    142,                0.82294,                 1.4774,                 1.2911,                0.63718,                0.57484,                0.61644,                0.46026,                0.87866,                 1.3984,                 1.3282,               5.77e-05,               5.77e-05,               5.77e-05
                    143,                0.82683,                 1.4763,                 1.2999,                0.65708,                0.56012,                0.61735,                0.46044,                0.87805,                 1.3985,                  1.328,               5.74e-05,               5.74e-05,               5.74e-05
                    144,                0.82617,                 1.4685,                 1.3077,                  0.661,                0.55989,                0.61796,                0.46113,                0.87765,                 1.3974,                 1.3277,               5.71e-05,               5.71e-05,               5.71e-05
